man,man,72.889999,73.129999
behind,behind,73.129999,73.419999
them,them,73.42,73.59
shouted,shouted,73.60000000000001,74.05
glaring,glaring,74.41,74.92
at,,,
her,her,75.1,75.28999999999999
She,she,75.55,75.77
turned,turned,75.77,76.08999999999999
around,around,76.09,76.49000000000001
in,in,76.49,76.64999999999999
shock,shock,76.65,77.2
Hey,hey,78.22,78.45
I,i,78.45,78.60000000000001
have,have,78.61,78.77
never,never,78.77,79.17
set,set,79.17,79.43
one,one,79.43,79.58000000000001
of,of,79.58,79.67
these,these,79.67,79.86
off,off,79.86,80.05
before,before,80.07,80.44999999999999
and,and,80.45,80.61
I,i,80.61,80.71
am,am,80.71000000000001,80.89000000000001
not,not,80.889999,81.079999
about,about,81.08,81.41
to,to,81.42,81.55
start,start,81.55,81.89999999999999
now,now,81.929999,82.44999899999999
she,she,82.48,82.71000000000001
scolded,scolded,82.71000000000001,83.24000000000001
holding,holding,83.52,83.89999999999999
up,up,83.9,84.04
her,her,84.03999999999999,84.17999999999999
finger,finger,84.179999,84.509999
She,she,85.08,85.27
started,started,85.27,85.64999999999999
to,to,85.65,85.77000000000001
walk,walk,85.77,86.06
through,through,86.059999,86.329999
then,then,86.34,86.62
jumped,jumped,86.63,87.0
back,back,87.0,87.34
and,and,87.349999,87.519999
bent,bent,87.53,87.79
down,down,87.799999,88.209999
She,she,88.690001,88.870001
took,took,88.869999,89.06999900000001
off,off,89.07,89.24
her,her,89.24,89.38
anklet,<unk>,89.379999,89.799999
and,and,89.82,89.99
put,put,89.99,90.16
it,it,90.16,90.25
in,in,90.25,90.34
her,her,90.35,90.48
box,box,90.48,90.89
on,on,90.89,90.97
the,the,90.97,91.06
conveyor,conveyor,91.06,91.46
belt,belt,91.46,91.75
She,she,92.26,92.45
smiled,smiled,92.45,92.91
at,at,92.91,93.01
the,the,93.01,93.1
security,security,93.1,93.55
guard,guard,93.55,93.88
that,that,94.52,94.77
was,was,94.77,94.92
a,a,94.92,94.99
close,close,94.99,95.44
one,one,95.44,95.66
Her,her,96.36,96.52
joy,joy,96.52,96.83
was,was,96.85,97.05
cut,cut,97.05,97.26
short,short,97.26,97.54
as,as,97.55,97.67
they,they,97.67,97.81
heard,heard,97.81,98.07
the,the,98.07,98.14
final,final,98.139999,98.479999
call,call,98.48,98.78
for,for,98.78,98.91
their,their,98.91,99.05
flight,flight,99.05,99.36
come,come,99.36,99.54
over,over,99.54,99.7
the,the,99.7,99.81
PA,pa,100.19,100.21
system,system,100.21,100.48
Our,,,
gate,gate,101.23,101.55
is,is,101.55,101.69
on,on,101.69,101.79
the,the,101.79,101.9
other,other,101.9,102.13
side,side,102.13,102.37
of,of,102.37,102.49
the,the,102.49,102.56
terminal,terminal,102.559999,103.219999
Monica,monica,103.389999,103.779999
shouted,shouted,103.78,104.2
holding,holding,104.49,104.86
her,her,104.86,105.0
hands,hands,105.0,105.34
to,to,105.339999,105.439999
her,her,105.44,105.61
head,head,105.61,105.93
